,dayofweek,minofday,requests,wait_time,reject,idle_trip,resource,dispatch,reward,effective_dist,actual_dist,agent_time,original_requests
0,4.0,803.0,200.0,228.88902819235676,35.0,0.0,7685.0,0.0,1.1180734315483647,2212.6858472663857,1557.9805641023038,0.18036890029907227,67.0
1,4.0,804.0,179.0,194.54521709948685,33.0,0.0,7614.0,0.0,0.28242872730899315,580.5630929718759,386.09139734156975,0.17960095405578613,73.0
2,4.0,805.0,182.0,243.22463076022615,29.0,0.0,7547.0,0.0,0.2893677682050526,600.3871602108497,350.5306056414938,0.1788315773010254,75.0
3,4.0,806.0,180.0,225.95299349642067,34.0,2.0,7492.0,2.0,0.2764701318185401,538.8196492750103,393.5380756631007,0.20803308486938477,62.0
4,4.0,807.0,175.0,225.73461578235708,32.0,9.0,7434.0,7.0,0.2795999265210889,470.9704953661935,410.9492330706298,0.2184741497039795,72.0
5,4.0,808.0,167.0,248.5859878661589,41.0,17.0,7387.0,8.0,0.24143798163228913,481.337511882497,339.88842169244117,0.1963179111480713,65.0
6,4.0,809.0,172.0,181.373618434006,36.0,21.0,7355.0,10.0,0.2594490094868105,482.00681419881766,379.35938400722625,0.21784520149230957,71.0
7,4.0,810.0,171.0,237.37728235776527,32.0,34.0,7316.0,14.0,0.26556681388411274,511.18692020838535,391.73468365269264,0.22072768211364746,64.0
8,4.0,811.0,206.0,252.17472624303704,40.0,40.0,7274.0,8.0,0.3245524896750096,571.0121157919039,467.7165980738828,0.20870757102966309,86.0
9,4.0,812.0,163.0,186.72588947300295,24.0,56.0,7246.0,18.0,0.2638893447461217,470.38197215143464,363.3636215333272,0.22333192825317383,74.0
10,4.0,813.0,206.0,266.7475517453288,14.0,71.0,7208.0,17.0,0.3564052973403298,798.4088405640787,539.4542084010336,0.22228431701660156,98.0
11,4.0,814.0,193.0,198.21037165812623,35.0,92.18400591366283,7177.0,24.0,0.29659328319300604,573.9222293242274,449.99296694665554,0.22727560997009277,74.0
12,4.0,815.0,166.0,161.1251369360544,18.0,7031.104035481978,7165.0,6946.0,-0.5883469697794599,605.2572104208375,469.43863207487175,7.200371503829956,66.0
13,4.0,816.0,175.0,234.01212851134463,19.0,7018.184005913663,7142.0,30.0,-0.5538258050761855,604.836261674518,461.239101864051,0.24520492553710938,82.0
14,4.0,817.0,198.0,198.68074606624086,20.0,6992.437806425439,7134.0,26.0,-0.5256965059965677,719.2241587059525,530.8040940679166,0.22762489318847656,83.0
15,4.0,818.0,184.0,200.14362359811847,27.0,6885.174786454161,7119.0,33.0,-0.5590505870310447,594.8016952236594,432.0758701546183,0.23488235473632812,84.0
16,4.0,819.0,167.0,171.80863408182464,14.0,6731.721650591589,7116.0,34.0,-0.5345811810733676,614.0729947404798,452.78741110490773,0.2481245994567871,68.0
17,4.0,820.0,183.0,203.4408305490306,29.0,6430.14968890441,7114.0,30.0,-0.49742701211752904,585.8671641844994,454.13423511657675,0.2373955249786377,67.0
18,4.0,821.0,183.0,214.36294566381335,20.0,6153.292289254361,7098.0,35.0,-0.4560821927423866,641.8300766966458,379.9169974830402,0.24759125709533691,85.0
19,4.0,822.0,189.0,199.50083252448178,23.0,5046.194374641539,7084.0,48.0,-0.291414444725132,696.3483193992743,535.9363651608182,0.26279449462890625,71.0
20,4.0,823.0,176.0,166.6306077853892,22.0,4605.95676374774,7083.0,33.0,-0.26756480866168,553.9337426385446,468.7793103982258,0.24118590354919434,72.0
21,4.0,824.0,183.0,178.67963007474708,28.0,4326.008159287534,7071.0,47.0,-0.2328619449546136,584.4485436599589,419.55808402087496,0.25734519958496094,77.0
22,4.0,825.0,191.0,175.45394159281514,27.0,4293.536301385397,7070.0,41.0,-0.20058853018631756,579.2011370351211,490.55239812674154,0.2477881908416748,76.0
23,4.0,826.0,165.0,167.66665046345074,24.0,4258.439687097809,7060.0,50.0,-0.2599630946161995,526.0924130969561,381.46152266257013,0.264878511428833,69.0
24,4.0,827.0,181.0,225.7543183910456,16.0,4192.906380680716,7049.0,50.0,-0.21106776957792694,520.7252793136213,428.93666662757096,0.25841665267944336,82.0
25,4.0,828.0,173.0,236.8139992773589,22.0,4113.125268444397,7017.0,47.0,-0.21943504503715805,476.45217378701636,392.6472417746372,0.2665586471557617,80.0
26,4.0,829.0,176.0,174.7202948417444,17.0,3975.6231392106447,7010.0,37.0,-0.18870597540838752,716.1405325460364,449.98414327370483,0.2476966381072998,74.0
27,4.0,830.0,190.0,192.50410425426486,31.0,6708.173601680859,7001.0,6466.0,-0.5288974523885512,561.4165893346326,427.8594954245091,6.687716960906982,85.0
28,4.0,831.0,198.0,152.28469242098424,29.0,6694.913561993442,6985.0,62.0,-0.5103831563140679,671.4030559881248,492.83829413481726,0.2771782875061035,72.0
29,4.0,832.0,212.0,268.7864528052093,39.0,6686.10649746338,6971.0,48.0,-0.49838292572864606,612.5802470479284,524.694018012131,0.2577781677246094,87.0
30,4.0,833.0,178.0,179.7261623537174,11.0,6668.623956019285,6965.0,48.0,-0.4831592020792468,699.8007150422782,534.0098213567599,0.25512099266052246,82.0
31,4.0,834.0,170.0,146.61456689927036,18.0,6626.927678534641,6957.0,52.0,-0.5108629417598491,626.3028381918302,498.1603819073116,0.257537841796875,74.0
32,4.0,835.0,165.0,141.06191499745134,15.0,6508.072956559892,6971.0,47.0,-0.5184048415967437,599.1047843442066,467.5010409325678,0.2550933361053467,73.0
33,4.0,836.0,184.0,188.32599089142192,8.0,6433.13878124309,6973.0,69.0,-0.43691486877097496,910.3946788963767,590.0473376822101,0.28364992141723633,71.0
34,4.0,837.0,183.0,202.08163011848043,23.0,6446.534418554599,6949.0,81.0,-0.48437598584556607,582.234598009105,458.02872752432086,0.2983682155609131,78.0
35,4.0,838.0,184.0,138.86829053950768,12.0,6408.697820872497,6954.0,59.0,-0.46061613859542394,635.8668453154314,539.0659524259099,0.2800590991973877,89.0
36,4.0,839.0,191.0,246.48259859800694,17.0,6411.209019900845,6944.0,79.0,-0.4554467199338985,698.5329854982629,497.5537865869446,0.2897677421569824,95.0
37,4.0,840.0,181.0,169.27757581133326,25.0,6400.816408709692,6917.0,74.0,-0.4853549098589127,569.8539743539259,391.4875941043283,0.289095401763916,85.0
38,4.0,841.0,181.0,145.4848567245038,22.0,6363.781385360425,6920.0,78.0,-0.4760355147759183,666.492752759259,533.938658661551,0.2975809574127197,68.0
39,4.0,842.0,176.0,199.85319290245124,8.0,6321.012544593132,6903.0,72.0,-0.4567963488815394,692.6102924821171,497.3459463296349,0.30089855194091797,87.0
40,4.0,843.0,184.0,206.60536837907014,3.0,6265.714606280671,6887.0,66.0,-0.4349725881075388,672.0848254547745,460.77032026074085,0.2794773578643799,99.0
41,4.0,844.0,205.0,171.57535084936686,22.0,6219.436973252429,6874.0,59.0,-0.4080683547824666,773.5969095295877,604.9537905089892,0.2641866207122803,92.0
42,4.0,845.0,203.0,175.06612470788005,14.0,6505.628584671253,6861.0,6007.0,-0.4385890060972404,817.666340515163,557.2477093475682,6.223756313323975,99.0
43,4.0,846.0,187.0,189.66904909786842,11.0,6465.916515776011,6846.0,89.0,-0.4659024342990534,693.288584792339,465.0233042266336,0.32662153244018555,90.0
44,4.0,847.0,194.0,160.760106131064,7.0,6425.8753925267665,6847.0,66.0,-0.43917842162932885,809.7752461382661,518.4414166540155,0.28064727783203125,96.0
45,4.0,848.0,227.0,159.21722225836507,9.0,6358.26136823022,6836.0,92.0,-0.37894889567949086,1067.8504821917995,613.9283544424543,0.3024716377258301,91.0
46,4.0,849.0,184.0,157.235639110548,6.0,6233.365297021211,6833.0,83.0,-0.42144166626497537,817.0048170884293,554.0136740806338,0.29950928688049316,86.0
47,4.0,850.0,218.0,210.45759546296907,5.0,5901.25403558142,6817.0,61.0,-0.3325071295481301,810.1124045982979,581.6206611439775,0.2811450958251953,109.0
48,4.0,851.0,224.0,227.2553300748043,16.0,5698.387120193539,6800.0,86.0,-0.3100191273802757,911.9117536627964,541.3294927298448,0.29762744903564453,103.0
49,4.0,852.0,223.0,256.49122346898196,8.0,4749.036876209239,6777.0,108.0,-0.16873158580411918,981.7781062223148,638.1132091911168,0.3174614906311035,101.0
50,4.0,853.0,189.0,180.2220745739668,7.0,3593.369699963675,6780.0,71.0,-0.07044960822610946,836.7894453296758,594.2645207942114,0.2815687656402588,88.0
51,4.0,854.0,193.0,131.06733130996847,11.0,2239.719903780045,6777.0,109.0,0.0767179223194212,857.0326504377517,534.567522644902,0.32555317878723145,77.0
52,4.0,855.0,205.0,146.8244687990226,0.0,1889.6629333888286,6793.0,90.0,0.14695006744906713,855.9369973850262,553.5462356396893,0.3025643825531006,97.0
53,4.0,856.0,186.0,170.80607128425694,0.0,1500.3508376949235,6805.0,120.0,0.18388062092657798,750.0552888822858,469.91223759316927,0.3359401226043701,92.0
54,4.0,857.0,193.0,196.25313136049257,5.0,1398.1769199903313,6797.0,108.0,0.20865671781182016,915.4901367797429,628.7926751988489,0.3242192268371582,92.0
55,4.0,858.0,198.0,205.55647509321392,3.0,1424.7468419102945,6789.0,91.0,0.20331370021550654,703.3105184932938,514.1503466010035,0.3057425022125244,97.0
56,4.0,859.0,189.0,159.4460996859865,5.0,1435.7387591768743,6782.0,92.0,0.1989052086953702,804.8560953373526,574.3040251369748,0.3100128173828125,88.0
57,4.0,860.0,213.0,181.52473974027123,9.0,6485.257791802784,6764.0,5591.0,-0.4161985155149974,956.2617355666007,559.482252789694,5.8431150913238525,96.0
58,4.0,861.0,184.0,181.64012520661362,5.0,6437.463040185141,6772.0,102.0,-0.4415650514980296,761.5685742812202,593.6326582481161,0.32952451705932617,87.0
59,4.0,862.0,218.0,228.3214948306339,0.0,6398.027256393031,6756.0,100.0,-0.37151233519202975,1057.9263503657203,580.9722839771275,0.3176569938659668,101.0
60,4.0,863.0,187.0,213.79938881261683,9.0,6340.58858555276,6746.0,107.0,-0.45766919013419916,779.1334544558849,462.6018701086359,0.3187522888183594,93.0
61,4.0,864.0,200.0,220.62265107188944,5.0,6286.531331380801,6747.0,106.0,-0.38133661484958026,804.4653289510825,612.0197906253998,0.331942081451416,93.0
62,4.0,865.0,199.0,174.18122173342263,5.0,6171.924430067928,6748.0,95.0,-0.3822482844054811,750.2531244336205,588.7020932820487,0.3178694248199463,99.0
63,4.0,866.0,185.0,183.53708062463716,0.0,6162.522739185657,6748.0,115.0,-0.4091719106343277,773.334202522281,529.5899161367524,0.3262944221496582,100.0
64,4.0,867.0,204.0,207.13886062492236,2.0,6005.322862148351,6722.0,150.0,-0.34565383143068473,857.4368574491818,531.4604453471002,0.3659636974334717,113.0
65,4.0,868.0,236.0,318.0823506472997,5.0,5589.082932137171,6676.0,100.0,-0.2354140212793716,859.5727674279406,680.8822867439158,0.31490492820739746,131.0
66,4.0,869.0,229.0,285.2676575963183,1.0,4834.21237192933,6646.0,122.0,-0.14787813918733583,1017.6404270114581,593.3764668300573,0.33300113677978516,111.0
67,4.0,870.0,220.0,259.74707209064576,1.0,3494.740204520822,6626.0,109.0,-0.0055137624904748606,936.04064212292,670.3282252003555,0.3222017288208008,105.0
68,4.0,871.0,200.0,198.07585531535597,4.0,2876.0414474976214,6617.0,128.0,0.023474818099069594,811.8518180882384,516.5891848073661,0.3388936519622803,103.0
69,4.0,872.0,194.0,183.8137491327178,5.0,2172.2864836172985,6625.0,123.0,0.10385434666502213,902.8905530915363,563.5456224615191,0.32245779037475586,79.0
70,4.0,873.0,201.0,175.4267730545826,2.0,2066.139994827973,6624.0,121.0,0.13007326815689169,873.1474864401098,563.4424217141859,0.34618568420410156,101.0
71,4.0,874.0,209.0,173.80636826911385,2.0,2092.727232854059,6625.0,115.0,0.12633167804572132,777.0531942754096,544.300888143116,0.3415799140930176,99.0
72,4.0,875.0,205.0,189.00365932668655,1.0,6021.910123648947,6637.0,5111.0,-0.3559555195777939,985.1762123612207,645.6017995400398,5.3827126026153564,88.0
73,4.0,876.0,191.0,165.80557263455978,0.0,6004.076839596533,6641.0,146.0,-0.3746121594542906,869.120601674862,563.5206284683518,0.36894845962524414,90.0
74,4.0,877.0,190.0,136.30954912449968,3.0,5925.032539806721,6675.0,121.0,-0.3873698062191533,790.34160570721,534.2333448367572,0.3442656993865967,94.0
75,4.0,878.0,173.0,163.80994226652624,2.0,5942.066112694045,6680.0,156.0,-0.40397577601701684,738.8957133922377,535.0409252710815,0.371065616607666,85.0
76,4.0,879.0,192.0,150.87525316924945,0.0,5931.787389135537,6691.0,135.0,-0.36492854062314706,946.493149174632,562.1737088667287,0.3643789291381836,86.0
77,4.0,880.0,177.0,191.3916662253345,1.0,5680.4761162360155,6701.0,120.0,-0.3516801429627101,696.300983657653,580.8626226238266,0.3496122360229492,88.0
78,4.0,881.0,196.0,194.71863381711304,0.0,5576.43005841384,6697.0,139.0,-0.3125981743056876,750.179285293576,508.50730539923825,0.35158252716064453,116.0
79,4.0,882.0,180.0,143.13460555888037,0.0,5381.214678786889,6699.0,177.0,-0.3264454273727786,698.2918662837328,508.0218104995729,0.3969380855560303,92.0
80,4.0,883.0,218.0,178.01080580045308,0.0,5168.276637817629,6689.0,123.0,-0.2139124655625686,1046.5543992589664,639.4495227284497,0.34465456008911133,107.0
81,4.0,884.0,190.0,202.04314859071926,0.0,4736.949163972855,6684.0,156.0,-0.20783821621616028,770.7634409264429,566.7642552281395,0.3706932067871094,100.0
82,4.0,885.0,179.0,153.60362310937597,0.0,4709.036814598382,6684.0,142.0,-0.256369976765928,630.1768095675652,432.92569382495276,0.3526899814605713,90.0
83,4.0,886.0,214.0,188.03969049902443,0.0,4653.663586792509,6664.0,158.0,-0.16926163099912372,954.0974812469285,583.2172204595918,0.37671375274658203,110.0
84,4.0,887.0,196.0,159.3756892980375,4.0,4625.561951197032,6657.0,153.0,-0.20057897386427825,828.031531699482,575.2070474591819,0.3769958019256592,94.0
85,4.0,888.0,216.0,211.69806811101333,2.0,4648.38081692816,6641.0,134.0,-0.16962849251841305,834.62162738396,592.4254228772916,0.3454124927520752,119.0
86,4.0,889.0,209.0,118.60976524787799,1.0,4463.384485209073,6659.0,146.0,-0.1848554559799247,746.8692657779538,497.63222798386414,0.3780233860015869,102.0
87,4.0,890.0,198.0,183.53818598596803,1.0,6193.508792732313,6652.0,4796.0,-0.39732852736893065,809.4922217942294,509.1374457433849,5.035866022109985,101.0
88,4.0,891.0,236.0,182.32955213456006,1.0,6201.333069307788,6656.0,162.0,-0.31665525667439454,1141.4292052327946,685.5081989584651,0.38808250427246094,100.0
89,4.0,892.0,189.0,145.90713896581298,1.0,6207.882316521482,6669.0,159.0,-0.39878567851013713,758.7595665617118,611.8590111090816,0.38602495193481445,90.0
90,4.0,893.0,214.0,157.89950044093524,1.0,6229.133494600117,6684.0,179.0,-0.37423531687089095,955.1591735417169,639.4763004810593,0.40822911262512207,108.0
91,4.0,894.0,207.0,224.01287013560489,1.0,6219.888330869461,6693.0,179.0,-0.39609502114479866,796.2180269294622,548.4251823563318,0.39748644828796387,103.0
92,4.0,895.0,187.0,161.77096528131904,2.0,6169.286485069408,6697.0,158.0,-0.40592937848279576,825.2425225090119,562.5861821947547,0.37221407890319824,86.0
93,4.0,896.0,171.0,135.4954299232053,1.0,6033.390947650016,6700.0,169.0,-0.4180650338005343,689.2937622184108,492.9436398306352,0.3852121829986572,80.0
94,4.0,897.0,204.0,179.15951462818342,0.0,5786.81214413983,6697.0,202.0,-0.31599095204900607,926.9575654265936,558.7550792897819,0.42014503479003906,100.0
95,4.0,898.0,202.0,177.05068941396578,1.0,5032.547394723526,6688.0,151.0,-0.22965438857394815,872.3794735945849,609.6391727552545,0.3819904327392578,101.0
96,4.0,899.0,192.0,138.5743741266608,0.0,4660.276373365203,6681.0,187.0,-0.22665033820512548,732.4176615021279,475.24791806482244,0.39760327339172363,105.0
97,4.0,900.0,194.0,211.5306332910558,1.0,4204.176023759568,6675.0,165.0,-0.15786442154866975,789.9715601420467,543.5233609192364,0.38240504264831543,107.0
98,4.0,901.0,199.0,150.12663303114638,3.0,3426.5815547489015,6676.0,179.0,-0.01933038220476746,933.3253935426183,642.6502552403254,0.39728760719299316,83.0
99,4.0,902.0,193.0,194.15717961709584,1.0,3009.11113197078,6661.0,166.0,-0.004305027610044476,823.3940039622394,530.1803878573701,0.3795738220214844,107.0
100,4.0,903.0,217.0,186.59083209765564,1.0,2954.9503272352104,6664.0,153.0,0.03601375594844569,906.5359477362945,519.8422389629195,0.3610832691192627,111.0
101,4.0,904.0,206.0,177.42035335368473,4.0,2976.5694405100594,6664.0,184.0,0.00846838284987328,804.3106428035535,517.8807721877383,0.4214787483215332,104.0
