,dayofweek,minofday,requests,wait_time,reject,idle_trip,resource,dispatch,reward,effective_dist,actual_dist,agent_time,original_requests
0,3.0,643.0,150.0,171.14051299848518,27.0,0.0,7677.0,0.0,1.098793697793107,1948.0096727571954,1396.7120200143943,0.18087482452392578,65.0
1,3.0,644.0,192.0,227.86927383210798,29.0,1.0,7598.0,1.0,0.3035092507565089,464.8086365689651,358.9479764586006,0.20258331298828125,80.0
2,3.0,645.0,146.0,200.07056166653447,22.0,1.0,7542.0,0.0,0.2447807387091525,385.6041162701067,361.41723458464276,0.18203139305114746,62.0
3,3.0,646.0,194.0,233.10066743415538,31.0,3.0,7472.0,2.0,0.3146992819999135,519.9194253598262,433.4808954014661,0.20133209228515625,80.0
4,3.0,647.0,190.0,241.98442627660748,38.0,9.0,7413.0,6.0,0.2844547766228407,501.91027876758153,358.19650101899106,0.21452951431274414,80.0
5,3.0,648.0,162.0,204.098569185468,33.0,13.0,7363.0,5.0,0.23807243990328297,398.97840084303016,314.75751008846737,0.20938682556152344,63.0
6,3.0,649.0,190.0,213.78477821766865,17.0,16.0,7320.0,4.0,0.3194661144674966,598.0022644456922,439.8584070228517,0.20797419548034668,83.0
7,3.0,650.0,163.0,179.01841833774327,28.0,27.0,7288.0,12.0,0.2586952434008074,399.65244272885775,355.4144914394424,0.22040343284606934,74.0
8,3.0,651.0,171.0,249.11738128733273,15.0,45.0,7260.0,19.0,0.2889962900896337,592.2833650360762,391.0435326573629,0.22292280197143555,72.0
9,3.0,652.0,178.0,237.58057603581133,22.0,58.0,7239.0,18.0,0.2842077718175484,551.6092179679599,363.42254174129994,0.21997332572937012,82.0
10,3.0,653.0,189.0,200.09879414011584,24.0,83.0,7219.0,26.0,0.30345449576116224,547.5334170726401,424.9172579180995,0.23155999183654785,72.0
11,3.0,654.0,186.0,190.2277970378011,31.0,109.0,7208.0,28.0,0.276422476701077,566.4925256067327,415.38738995717085,0.22765278816223145,62.0
12,3.0,655.0,193.0,168.38713686487517,24.0,7077.0,7199.0,6975.0,-0.5570551298074826,634.7056157441175,483.749492463543,7.176851034164429,78.0
13,3.0,656.0,168.0,225.9259314189103,30.0,7068.0,7189.0,36.0,-0.6038108536239188,418.26305607332506,366.40692876859066,0.26413488388061523,70.0
14,3.0,657.0,167.0,135.6313284923538,19.0,7056.913226019869,7178.0,35.0,-0.6069354145598118,548.5863220095853,364.7322109870365,0.23974299430847168,63.0
15,3.0,658.0,176.0,169.91563423536135,17.0,7042.745421466265,7175.0,27.0,-0.5708629443067279,648.3692542849112,443.8848103241544,0.24089884757995605,61.0
16,3.0,659.0,157.0,143.78802810930645,13.0,7034.732116957819,7180.0,26.0,-0.5957129912236383,551.0889794474915,443.2325259025283,0.23540163040161133,63.0
17,3.0,660.0,173.0,189.58161420504769,13.0,7032.485728885618,7164.0,39.0,-0.5749469512201145,510.52658169354254,355.0317153782753,0.25457167625427246,89.0
18,3.0,661.0,170.0,179.7918317734748,7.0,6897.1592207805215,7148.0,32.0,-0.5560189536695532,496.9722506849721,398.43951317770916,0.24362540245056152,81.0
19,3.0,662.0,167.0,196.44297911093022,9.0,6173.074438179682,7146.0,30.0,-0.4687694855431487,600.713731963222,413.7944948399727,0.23888516426086426,69.0
20,3.0,663.0,156.0,158.4127037022567,7.0,4297.4704165243265,7140.0,39.0,-0.24394394108942458,508.3056731078159,437.6688790486296,0.259552001953125,80.0
21,3.0,664.0,167.0,192.12345788394552,15.0,2226.1159371162557,7118.0,46.0,0.007566892186934848,487.8349078913252,352.9887368831787,0.2569305896759033,80.0
22,3.0,665.0,178.0,146.9096986440898,19.0,2075.6919268629113,7113.0,45.0,0.05559468165213077,583.9126943057418,460.8131773333189,0.24919390678405762,73.0
23,3.0,666.0,154.0,180.24270406098918,18.0,1681.364276321303,7103.0,52.0,0.06326003720798484,512.472746497684,385.48729142634875,0.2634866237640381,75.0
24,3.0,667.0,174.0,169.55487441085523,25.0,1333.1304220728257,7108.0,47.0,0.11978189032075032,487.07374327503203,359.09850585051026,0.25467634201049805,72.0
25,3.0,668.0,164.0,141.91051389519617,17.0,885.3095337480635,7094.0,58.0,0.16322366483192902,474.12919230403895,375.1878231319988,0.2804577350616455,75.0
