,dayofweek,minofday,requests,wait_time,reject,idle_trip,resource,dispatch,reward,effective_dist,actual_dist,agent_time,original_requests
0,0.0,963.0,171.0,171.80833450710384,47.0,0.0,7714.0,0.0,0.9915275549843741,1944.3609990389575,1403.629335953594,0.41074681282043457,60.0
1,0.0,964.0,186.0,187.94854116959795,51.0,1.0,7642.0,1.0,0.2529652561992102,444.4614392998353,346.4800739287107,0.1984565258026123,72.0
2,0.0,965.0,174.0,244.10574337773147,42.0,0.0,7572.0,0.0,0.26242230741437345,515.9966810460264,380.41984747057495,0.17700815200805664,70.0
3,0.0,966.0,169.0,201.4839440717931,55.0,3.0,7538.0,3.0,0.23205391334456804,468.750909791876,345.0190824330566,0.19958972930908203,46.0
4,0.0,967.0,167.0,214.3258772970646,44.0,8.0,7487.0,5.0,0.24879181550658536,492.98106682901425,397.49965376659657,0.2127392292022705,62.0
5,0.0,968.0,190.0,251.3815298399587,54.0,13.0,7440.0,5.0,0.2679240774817284,453.4942293404433,392.8698446600838,0.2134535312652588,79.0
6,0.0,969.0,196.0,204.31085138420175,57.0,24.0,7402.0,12.0,0.2829704942271012,477.2036167888291,438.5475479508368,0.21940231323242188,73.0
7,0.0,970.0,196.0,215.02815625294264,52.0,33.0,7364.0,12.0,0.2911138730021654,541.4411715153474,459.6736749201191,0.21301031112670898,76.0
8,0.0,971.0,201.0,252.74851969567305,57.0,52.0,7321.0,20.0,0.26884252830522337,450.23975229266944,379.63621296207657,0.22975778579711914,79.0
9,0.0,972.0,187.0,172.61584752021278,58.0,69.0,7301.0,18.0,0.25117624065657385,434.6474313905783,366.4140332047464,0.22900938987731934,64.0
10,0.0,973.0,193.0,188.10448727122963,38.0,88.0,7282.0,20.0,0.2901113835591045,749.6903435586783,465.1418076745331,0.2227017879486084,55.0
11,0.0,974.0,198.0,221.12626836392,55.0,97.0,7260.0,16.0,0.2653551535463463,541.9176184591415,367.8051813496604,0.224381685256958,71.0
12,0.0,975.0,162.0,117.4560607278064,43.0,6989.0,7264.0,6895.0,-0.6279665445649649,551.8200406761507,440.06087852589644,7.079252243041992,49.0
13,0.0,976.0,182.0,160.82312390495957,40.0,6991.0,7246.0,28.0,-0.580534013899225,555.3433903854657,449.33147216188263,0.24878525733947754,63.0
14,0.0,977.0,189.0,184.73703667631514,52.0,6973.0,7237.0,21.0,-0.6127446449230431,476.79022989779696,343.3831784897784,0.21699213981628418,56.0
15,0.0,978.0,168.0,148.67735828189973,29.0,6964.885705301659,7232.0,28.0,-0.6055306735481938,550.9889254449918,416.5870592876918,0.2433185577392578,64.0
16,0.0,979.0,202.0,189.68194569439746,53.0,6957.972099405514,7225.0,33.0,-0.587068930046727,463.3982244012004,348.84735804716547,0.23773193359375,72.0
17,0.0,980.0,180.0,178.78480960057212,22.0,6934.622649181778,7214.0,38.0,-0.5508520390857563,706.9370857694885,536.755145238325,0.23755550384521484,66.0
18,0.0,981.0,154.0,133.9510831707079,33.0,6905.9548262019325,7229.0,30.0,-0.6212943748784161,511.21552815586983,368.8130734648221,0.2252674102783203,48.0
19,0.0,982.0,165.0,209.43991063433077,31.0,6900.829590845115,7211.0,38.0,-0.5884924703146653,437.069292276281,387.1546956367183,0.25730299949645996,69.0
20,0.0,983.0,166.0,148.75484045412549,38.0,6828.74362683351,7216.0,29.0,-0.6080452964422084,522.8690701376327,370.5372745534951,0.2444770336151123,62.0
21,0.0,984.0,150.0,112.98731241946041,29.0,6797.5999083103425,7226.0,40.0,-0.6146414210966122,478.7697182922111,389.57256080394836,0.2654242515563965,54.0
22,0.0,985.0,181.0,183.55056531873635,42.0,6688.692785394381,7196.0,41.0,-0.5667701289052571,596.5320537349289,365.9708402316428,0.25854921340942383,69.0
23,0.0,986.0,165.0,120.0833592179677,39.0,6312.371608067309,7211.0,35.0,-0.5475714335064521,504.0639660644538,354.15961002369113,0.2510955333709717,52.0
24,0.0,987.0,181.0,138.4955499049228,53.0,6141.554717785223,7210.0,43.0,-0.5185840630345115,452.0282678874737,353.6885590141137,0.2600536346435547,58.0
25,0.0,988.0,161.0,161.90268909917162,38.0,6050.946372172888,7189.0,45.0,-0.5125480636670621,451.22131449117114,341.31304706228184,0.24834704399108887,66.0
26,0.0,989.0,192.0,160.42120897753745,47.0,6023.8375863362235,7170.0,32.0,-0.4721789902308826,449.03322218695394,357.5188774360231,0.24965572357177734,73.0
27,0.0,990.0,151.0,116.18782283780827,34.0,6850.527130201348,7174.0,6523.0,-0.6281534835720661,479.45662078675923,335.86046885582255,6.787040948867798,50.0
28,0.0,991.0,159.0,145.29390671434626,33.0,6851.195314611314,7169.0,49.0,-0.5972409357060382,480.32699761898584,357.7126272560308,0.2785797119140625,66.0
29,0.0,992.0,160.0,131.02557974583834,30.0,6844.054814466154,7144.0,49.0,-0.5979557387479026,486.1632173767721,343.066403384777,0.2521233558654785,66.0
30,0.0,993.0,184.0,173.07861062461095,38.0,6820.280364642026,7141.0,44.0,-0.5604156231270192,529.7888959572374,465.5615656551563,0.24683332443237305,70.0
31,0.0,994.0,196.0,176.35713353991125,50.0,6811.12845317768,7134.0,55.0,-0.549261790693806,608.688558990616,491.9969173759291,0.2715120315551758,68.0
32,0.0,995.0,178.0,168.1728731920326,23.0,6794.887035423247,7097.0,64.0,-0.534028342432542,825.6261844472792,460.05498929896567,0.26638126373291016,69.0
33,0.0,996.0,170.0,155.17861843132096,23.0,6747.902906605216,7098.0,37.0,-0.5481266244540741,804.0773491733744,513.7282913482668,0.25101494789123535,63.0
34,0.0,997.0,166.0,189.44932177551726,17.0,6747.782833000565,7065.0,56.0,-0.5604512509484572,556.0299187462988,385.6954107157635,0.26549434661865234,82.0
35,0.0,998.0,182.0,165.45316039795813,28.0,6686.7461942806785,7063.0,42.0,-0.531934139049115,623.9693746300145,446.32393798058,0.26148319244384766,73.0
36,0.0,999.0,165.0,131.93044751519386,36.0,6662.537382395214,7069.0,55.0,-0.5641140279854842,507.9942395368089,464.4388275638212,0.25972986221313477,60.0
37,0.0,1000.0,197.0,202.30187395016765,43.0,6675.0348282736895,7055.0,63.0,-0.5187016363096468,847.0185145688847,536.0852972703178,0.2829396724700928,65.0
38,0.0,1001.0,186.0,186.36136120915396,15.0,6643.528187336012,7030.0,59.0,-0.48781444083930126,774.5539677134511,567.6684081417734,0.27711987495422363,81.0
39,0.0,1002.0,165.0,169.37729875939266,16.0,6592.47109299703,7025.0,64.0,-0.5351788746222788,603.5909069961781,439.6808199063671,0.2695488929748535,72.0
40,0.0,1003.0,177.0,147.9849448682999,15.0,6555.896944434095,7018.0,58.0,-0.5214784181942491,705.2837036934361,363.0586561895507,0.27721166610717773,81.0
41,0.0,1004.0,186.0,160.21329312067988,10.0,6494.247199292699,7006.0,58.0,-0.4713223407293654,722.3831906970627,521.8352724699798,0.2691943645477295,88.0
42,0.0,1005.0,186.0,169.45108406782455,20.0,6691.8873085656,6997.0,6117.0,-0.5154029121237649,821.6013344594758,479.61333512418787,6.327733039855957,69.0
43,0.0,1006.0,191.0,214.99073129281905,39.0,6681.541165529729,6992.0,58.0,-0.5439465406129198,561.6848460775655,429.7141959128239,0.28706932067871094,65.0
44,0.0,1007.0,180.0,178.80019014969457,37.0,6674.563214173521,6996.0,61.0,-0.5502459791510788,493.0668546552588,370.85289110272424,0.2733333110809326,69.0
45,0.0,1008.0,189.0,212.91981944214018,11.0,6674.16170732637,6993.0,65.0,-0.5078471226826462,876.0913955811011,482.95575952109357,0.2691819667816162,76.0
46,0.0,1009.0,174.0,136.3629263308055,9.0,6670.853263123523,6998.0,69.0,-0.511086995627295,807.1835429170715,474.737779761228,0.2743675708770752,74.0
47,0.0,1010.0,179.0,156.38379921498546,9.0,6671.621498286463,6992.0,81.0,-0.4973545683742131,770.0558383857642,532.1766357796041,0.2921609878540039,84.0
48,0.0,1011.0,176.0,167.88597604647043,6.0,6643.998253092317,7005.0,64.0,-0.5057687490091354,853.6753027395971,509.6619581669147,0.2856779098510742,74.0
49,0.0,1012.0,189.0,168.38203210047197,3.0,6612.966026783518,7005.0,78.0,-0.4707341796072839,910.5271800504233,553.9230894675384,0.29549217224121094,89.0
50,0.0,1013.0,148.0,157.62394716658835,8.0,6540.552884159133,6997.0,70.0,-0.5522629086229962,636.1067068848388,391.0141923258125,0.2910745143890381,69.0
51,0.0,1014.0,165.0,213.9046685766263,4.0,6476.2850460098525,6984.0,76.0,-0.49159833776905515,746.886660821965,503.2936315380175,0.28379178047180176,77.0
52,0.0,1015.0,174.0,169.45424175042243,4.0,6150.273702239668,6964.0,76.0,-0.4420372106041768,690.9556253791197,492.7435808770024,0.2930893898010254,85.0
53,0.0,1016.0,160.0,155.4312433284863,25.0,5509.926774511875,6974.0,73.0,-0.412611659496644,610.0223215555598,411.2030018714104,0.277540922164917,60.0
54,0.0,1017.0,157.0,130.9676157258441,26.0,5280.962041033169,6983.0,96.0,-0.37369757232855605,598.7624266653002,451.96062262266787,0.3120594024658203,61.0
55,0.0,1018.0,191.0,150.60749989729726,11.0,5258.1564725733015,6973.0,85.0,-0.32638356279646885,728.3260018216024,450.31106055006603,0.2914731502532959,86.0
56,0.0,1019.0,178.0,177.2051343856941,11.0,5088.088902910818,6951.0,78.0,-0.29627935585831366,720.3631811913438,554.8027785874001,0.29236698150634766,76.0
57,0.0,1020.0,197.0,143.90693921796608,0.0,6555.258924447186,6944.0,5778.0,-0.42726396054201743,883.9077072763757,563.3185154743551,6.01340389251709,98.0
58,0.0,1021.0,164.0,180.15288861229675,2.0,6554.705799236489,6927.0,94.0,-0.5019195096414215,639.114991815899,444.2925151552081,0.3168003559112549,87.0
59,0.0,1022.0,194.0,233.7481403972587,7.0,6545.729972783525,6919.0,82.0,-0.4783532044225254,792.2958087654697,458.0756102840023,0.2928776741027832,100.0
60,0.0,1023.0,186.0,145.761245933232,1.0,6525.370053473109,6910.0,96.0,-0.4686354720487458,722.8319085723124,484.6218620188629,0.3187735080718994,98.0
61,0.0,1024.0,190.0,202.92930203792707,3.0,6511.350650629279,6876.0,81.0,-0.46465653362004744,722.8641644902236,463.7628959055037,0.29331493377685547,112.0
62,0.0,1025.0,214.0,197.21296694176374,12.0,6466.628059290737,6840.0,96.0,-0.42043117151336773,900.3069949835699,574.9311738285542,0.32045555114746094,98.0
