,dayofweek,minofday,requests,wait_time,reject,idle_trip,resource,dispatch,reward,effective_dist,actual_dist,agent_time,original_requests
0,5.0,963.0,231.0,442.45544263928537,34.0,0.0,7591.0,0.0,1.40845056133752,2308.8807725460047,1961.1262902969956,0.18321633338928223,102.0
1,5.0,964.0,201.0,300.4679060807762,27.0,0.0,7512.0,0.0,0.32617737822259185,539.1027545238071,448.97862444993234,0.1772012710571289,75.0
2,5.0,965.0,205.0,375.6552383875585,30.0,3.0,7428.0,3.0,0.34457001082970984,605.7642320134396,471.46812044773515,0.20188689231872559,88.0
3,5.0,966.0,215.0,347.0635274861786,39.0,7.0,7345.0,4.0,0.34093893630790584,545.3471408897244,457.91568843672303,0.20741701126098633,91.0
4,5.0,967.0,237.0,327.14388058464726,36.0,15.0,7257.0,9.0,0.3769425703730409,587.9455025077,505.357926965979,0.21680212020874023,100.0
5,5.0,968.0,232.0,297.53167451487485,32.0,22.0,7194.0,8.0,0.384156001579516,663.0001002244444,606.2909257650113,0.20801019668579102,99.0
6,5.0,969.0,203.0,366.33003108821754,27.0,28.0,7147.0,6.0,0.3413437328514983,632.0792177989406,522.4585692493984,0.2053394317626953,92.0
7,5.0,970.0,229.0,312.49805479766417,30.0,40.0,7105.0,12.0,0.37781216878743695,597.6202658106404,475.497647063351,0.2258908748626709,94.0
8,5.0,971.0,225.0,323.45613129817326,26.0,58.0,7061.0,21.0,0.38427799625084,706.3663418507203,625.1996774937606,0.22588682174682617,97.0
9,5.0,972.0,233.0,255.34088792272547,39.0,72.0,7037.0,17.0,0.3601493356898695,598.7322968695016,508.0634077749355,0.22476434707641602,92.0
10,5.0,973.0,231.0,329.71903701692116,34.0,103.0,7009.0,33.0,0.36886276167012255,660.7265709854546,568.9342685366964,0.24451375007629395,95.0
11,5.0,974.0,213.0,296.8142603652515,24.0,125.0,6966.0,30.0,0.3427696365421644,547.878436716841,417.34859450326803,0.23899364471435547,104.0
12,5.0,975.0,231.0,263.27345691810524,39.0,6821.0,6949.0,6700.0,-0.4783529723939992,586.7288595709015,514.2034350762169,6.870354890823364,96.0
13,5.0,976.0,197.0,261.116636044455,21.0,6798.695703009182,6927.0,40.0,-0.506367147319633,523.6034978314601,492.55567979818807,0.26102709770202637,89.0
14,5.0,977.0,230.0,285.0531842133233,23.0,6777.0,6896.0,30.0,-0.45767858322626687,706.9425598694324,541.6227960356227,0.2335517406463623,101.0
15,5.0,978.0,215.0,242.46303211818676,30.0,6747.467077158476,6893.0,33.0,-0.47994472054887893,626.7109973643637,499.0479296538888,0.23431682586669922,88.0
16,5.0,979.0,222.0,251.06385595609908,36.0,6740.159393835191,6886.0,50.0,-0.47549195640579933,602.9404784831859,530.266057243778,0.2524447441101074,84.0
17,5.0,980.0,210.0,238.31587253901324,38.0,6733.0214054071,6881.0,39.0,-0.4965383585451706,494.8563445531581,457.682551207301,0.2590620517730713,88.0
18,5.0,981.0,202.0,267.35766682951396,21.0,6726.538819924535,6866.0,51.0,-0.4971160707860156,569.6000174051296,464.0275953473338,0.26852989196777344,93.0
19,5.0,982.0,220.0,272.05831911433137,31.0,6318.402792560854,6850.0,48.0,-0.44448236599014757,601.2428612752774,453.5427585714242,0.2660794258117676,88.0
20,5.0,983.0,221.0,276.2888064838331,34.0,5233.982351815584,6821.0,34.0,-0.2807731863776495,594.1277375012432,492.3343223157026,0.24111294746398926,100.0
21,5.0,984.0,242.0,252.0477350409817,26.0,4156.164247504375,6833.0,42.0,-0.10177854546753173,813.0156046043448,604.6337374412415,0.24992918968200684,88.0
22,5.0,985.0,230.0,304.94242787132526,28.0,3261.286562131734,6813.0,61.0,-0.009428209071620675,644.4307253141742,565.3606807467168,0.26464247703552246,110.0
